5017 RIDGE RD,"5017 Ridge Rd, Farnham, VA 22460-2433, United States",5017,Ridge Rd,Farnham,VA,22460-2433,Northumberland,RICH-4,"VATI,RDOF","-76,54305","37,89788",NULL,NULL,no,Unserved,RICH-4 Normalized,1000
126 DEER GAP LN,"126 Deer Gap Ln, Farnham, VA 22460-2431, United States",126,Deer Gap Ln,Farnham,VA,22460-2431,Northumberland,RICH-4,"VATI,RDOF","-76,54186","37,89572",NULL,NULL,no,Unserved,RICH-4 Normalized,1001
224 DEER GAP LN,"224 Deer Gap Ln, Farnham, VA 22460-2437, United States",224,Deer Gap Ln,Farnham,VA,22460-2437,Northumberland,RICH-4,"VATI,RDOF","-76,53949","37,89519",NULL,NULL,no,Unserved,RICH-4 Normalized,1002
230 DEER GAP LN,"230 Deer Gap Ln, Farnham, VA 22460-2437, United States",230,Deer Gap Ln,Farnham,VA,22460-2437,Northumberland,RICH-4,"VATI,RDOF","-76,54065","37,89604",NULL,NULL,no,Unserved,RICH-4 Normalized,1003
5213 RIDGE RD,"5213 Ridge Rd, Farnham, VA 22460, United States",5213,Ridge Rd,Farnham,VA,22460,Northumberland,RICH-4,"VATI,RDOF","-76,54336","37,89506",NULL,NULL,no,Unserved,RICH-4 Normalized,1004
52 DEER GAP LN,"52 Deer Gap Ln, Farnham, VA 22460-2439, United States",52,Deer Gap Ln,Farnham,VA,22460-2439,Northumberland,RICH-4,"VATI,RDOF","-76,54315","37,89609",NULL,NULL,no,Unserved,RICH-4 Normalized,1005
172 DEER GAP LN,"172 Deer Gap Ln, Farnham, VA 22460-2431, United States",172,Deer Gap Ln,Farnham,VA,22460-2431,Northumberland,RICH-4,"VATI,RDOF","-76,54126","37,89581",NULL,NULL,no,Unserved,RICH-4 Normalized,1006
97 DODLYT RD,"97 Dodlyt Rd, Heathsville, VA 22473, United States",97,Dodlyt Rd,Heathsville,VA,22473,Northumberland,RICH-4,VATI,"-76,54269","37,9031",NULL,NULL,no,Unserved,RICH-4 Normalized,1007
5725 RIDGE RD,"5725 Ridge Rd, Farnham, VA 22460, United States",5725,Ridge Rd,Farnham,VA,22460,Northumberland,RICH-4,"VATI,RDOF","-76,5405","37,88773",NULL,NULL,no,Unserved,RICH-4 Normalized,1008
5523 RIDGE RD,"5523 Ridge Rd, Farnham, VA 22460, United States",5523,Ridge Rd,Farnham,VA,22460,Northumberland,RICH-4,"VATI,RDOF","-76,54077","37,89133",NULL,NULL,no,Unserved,RICH-4 Normalized,1009
