Pole ID,Pole Latitude,Pole Longitude,Pole Type
CHAPAIS 6E PHA12, 49.7817822,-74.8586453,Generic wooden pole
CHAPAIS 6E PTA34, 49.7808584,-74.8556129,Generic wooden pole
CHAPAIS 6E PHD24, 49.7812304,-74.8567138,Generic wooden pole
CHAPAIS 6E PHD20, 49.7814308,-74.8573935,Generic wooden pole
CHAPAIS 2E PTD30, 49.7818689,-74.8570286,Generic wooden pole
CHAPAIS 2E PHD29, 49.7819597,-74.8574447,Generic wooden pole
CHAPAIS 1RE PHD36, 49.7825031,-74.8593897,Generic wooden pole
CHAPAIS 6E PHA13, 49.7820288,-74.8580287,Generic wooden pole
CHAPAIS 1RE PHD33, 49.7843810,-74.8590271,Generic wooden pole
CHAPAIS 9E PHA89, 49.7772116,-74.8493865,Generic wooden pole
CHAPAIS 5E PHA67, 49.7828086,-74.8508937,Generic wooden pole
CHAPAIS 1RE PHA103+1, 49.7810548,-74.8468023,Generic wooden pole
CHAPAIS 1RE PHA97, 49.7820487,-74.8466269,Generic wooden pole
CHAPAIS SPRINGER PTA123, 49.7826814,-74.8565086,Generic wooden pole
CHAPAIS 5E PHA30, 49.7827134,-74.8557047,Generic wooden pole
CHAPAIS SPRINGER PHA30, 49.7824348,-74.8555964,Generic wooden pole
CHAPAIS SPRINGER PHA34, 49.7822822,-74.8551031,Generic wooden pole
CHAPAIS 5E PHC30, 49.7835238,-74.8585092,Generic wooden pole
CHAPAIS 10E PHA12, 49.7791931,-74.8594604,Generic wooden pole
CHAPAIS 9E PHA12, 49.7791931,-74.8594604,Generic wooden pole
CHAPAIS 2E PHA12, 49.7791931,-74.8594604,Generic wooden pole
CHAPAIS 7E PHD37, 49.7804149,-74.8582727,Generic wooden pole
CHAPAIS 8E PHD37, 49.7804149,-74.8582727,Generic wooden pole
CHAPAIS 2E PHD37, 49.7804149,-74.8582727,Generic wooden pole
CHAPAIS 1RE PTA37, 49.7839355,-74.8596233,Generic wooden pole
CHAPAIS SPRINGER PTA37, 49.7839355,-74.8596233,Generic wooden pole
